#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B6_FASP_Elite_03242014.psm.txt
#	
#	pep{Run1} = ./OSU_B6_FASP_Elite_03242014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 154
#	Target_Proteins_Before_Filtering = 10369
#	Total_Proteins_Before_Filtering = 10523
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 2860
#	Total_Proteins_After_Filtering = 2862
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000698812019567
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
YP_003552742.1	2	4	2	4	2.22222222222	2.22	YP_003552742.1	T
YP_003860680.1	2	17	2	83	20.4712121212	20.47	YP_003860680.1	T
YP_003860855.1	2	3	2	3	2.5	2.5	YP_003860855.1	T
YP_003861260.1	1	7	1	11	3.20952380952	3.21	YP_003861260.1	T
YP_003861539.1	1	7	1	7	3.33333333333	3.33	YP_003861539.1	T
YP_004425587.1	1	2	1	2	2.0	2.0	YP_004425587.1	T
YP_004426390.1	2	2	3	3	3.0	3.0	YP_004426390.1	T
YP_004426391.1	1	2	1	2	1.25	1.25	YP_004426391.1	T
YP_004427037.1	1	2	1	7	7.0	7.0	YP_004427037.1	T
YP_004427743.1	2	6	4	12	7.83333333333	7.83	YP_004427743.1	T
YP_004427932.1	1	4	1	5	4.0	4.0	YP_004427932.1	T
YP_004428602.1	4	13	9	27	11.8083916084	11.81	YP_004428602.1	T
YP_004429210.1	1	12	1	30	8.7	8.7	YP_004429210.1	T
YP_004429212.1	2	3	2	3	2.5	2.5	YP_004429212.1	T
YP_007641040.1	1	5	1	9	9.0	9.0	YP_007641040.1	T
YP_007641166.1	1	6	1	9	1.88461538462	1.88	YP_007641166.1	T
YP_729345.1	1	3	1	3	2.5	2.5	YP_729345.1	T
YP_729367.1	2	3	2	3	3.0	3.0	YP_729367.1	T
YP_729613.1	2	11	2	19	7.76666666667	7.77	YP_729613.1	T
YP_729661.1	2	4	2	4	3.25	3.25	YP_729661.1	T
YP_729722.1	3	5	9	16	12.2	12.2	YP_729722.1	T
YP_729723.1	2	10	2	16	15.0	15.0	YP_729723.1	T
YP_729731.1	3	6	3	13	8.0	8.0	YP_729731.1	T
YP_729732.1	1	10	1	39	17.3666666667	17.37	YP_729732.1	T
YP_729740.1	1	4	1	5	5.0	5.0	YP_729740.1	T
YP_730624.1	1	3	1	3	3.0	3.0	YP_730624.1	T
YP_731290.1	1	5	1	6	3.16666666667	3.17	YP_731290.1	T
YP_731337.1	2	4	2	4	2.08	2.08	YP_731337.1	T
YP_731479.1	1	17	1	22	12.5	12.5	YP_731479.1	T
YP_731510.1	2	5	2	12	3.5350877193	3.54	YP_731510.1	T
YP_731520.1	4	4	4	4	4.0	4.0	YP_731520.1	T
YP_731699.1	5	5	10	10	10.0	10.0	YP_731699.1	T
YP_860642.1	1	2	1	2	2.0	2.0	YP_860642.1	T
YP_862297.1	1	2	1	2	2.0	2.0	YP_862297.1	T
YP_862863.1	1	3	1	3	2.33333333333	2.33	YP_862863.1	T
YP_863256.1	1	8	1	8	3.36666666667	3.37	YP_863256.1	T
acetate|contig-21463000011_2	2	10	2	17	9.25	9.25	acetate|contig-21463000011_2	T
acetate|contig-22115000014_2	1	11	1	16	15.5	15.5	acetate|contig-22115000014_2	T
acetate|contig-2656000014_2	10	10	10	10	10.0	10.0	acetate|contig-2656000014_2	T
acetate|contig-2701000013_7	1	7	1	9	6.2	6.2	acetate|contig-2701000013_7	T
acetate|contig-29111000004_1	1	6	2	9	4.66666666667	4.67	acetate|contig-29111000004_1	T
acetate|contig-32808000013_2	2	8	4	17	15.0	15.0	acetate|contig-32808000013_2	T
acetate|contig-33209000009_2	12	12	22	22	22.0	22.0	acetate|contig-33209000009_2	T
acetate|contig-35627000013_1	2	20	3	164	105.666666667	105.67	acetate|contig-35627000013_1	T
acetate|contig-38951000007_2	4	8	4	9	8.0	8.0	acetate|contig-38951000007_2	T
acetate|contig-39585000009_2	1	18	4	35	15.5	15.5	acetate|contig-39585000009_2	T
acetate|contig-39616000011_1	3	5	11	15	13.0	13.0	acetate|contig-39616000011_1	T
acetate|contig-41486000004_2	1	6	2	10	9.5	9.5	acetate|contig-41486000004_2	T
acetate|contig-42809000003_2	1	3	1	4	4.0	4.0	acetate|contig-42809000003_2	T
acetate|contig-43499000015_1	1	4	1	4	4.0	4.0	acetate|contig-43499000015_1	T
acetate|contig-46790000011_4	1	5	1	6	6.0	6.0	acetate|contig-46790000011_4	T
acetate|contig-7380000006_1	1	7	2	9	9.0	9.0	acetate|contig-7380000006_1	T
acetate|contig-976000012_1	1	3	2	6	3.83333333333	3.83	acetate|contig-976000012_1	T
aminoacids|contig-10118000000_2	1	2	1	2	2.0	2.0	aminoacids|contig-10118000000_2	T
aminoacids|contig-17634000008_2	1	2	1	2	2.0	2.0	aminoacids|contig-17634000008_2	T
